ID,name,birthstate,countryName,countryCode,birthyear,gender,occupation
307,Abraham Lincoln,KY,UNITED STATES,US,1809,Male,POLITICIAN
595,Andre Agassi,NV,UNITED STATES,US,1970,Male,TENNIS PLAYER
864,Andy Warhol,PA,UNITED STATES,US,1928,Male,ARTIST
81898,Melvil Dewey,NY,United States,US,1851,Male,INVENTOR
1017,Allen Ginsberg,NJ,UNITED STATES,US,1926,Male,WRITER
1623,Andrew Jackson,NC,United States,US,1767,Male,POLITICIAN
1624,Andrew Johnson,NC,UNITED STATES,US,1808,Male,POLITICIAN
187477,Joseph Henry,NY,UNITED STATES,US,1797,Male,PHYSICIST
313701,Paul Krugman,NY,UNITED STATES,US,1953,Male,ECONOMIST
182532,Alec Baldwin,NY,UNITED STATES,US,1958,Male,ACTOR
69861,Kirk Douglas,NY,UNITED STATES,US,1916,Male,ACTOR
3356,Bill Clinton,AR,UNITED STATES,US,1946,Male,POLITICIAN
3382,Britney Spears,MS,UNITED STATES,US,1981,Female,SINGER
3747,Bill Gates,WA,UNITED STATES,US,1955,Male,BUSINESSPERSON
27954,Susan B. Anthony,MA,United States,US,1820,Female,SOCIAL ACTIVIST
4010,Bing Crosby,WA,UNITED STATES,US,1903,Male,SINGER
159275,Emily Dickinson,MA,UNITED STATES,US,1830,Female,WRITER
4173,Babe Ruth,MD,United States,US,1895,Male,BASEBALL PLAYER
4216,Brian De Palma,NJ,UNITED STATES,US,1940,Male,FILM DIRECTOR
4408,Buddy Holly,TX,United States,US,1936,Male,MUSICIAN
4471,Billy Bob Thornton,AR,UNITED STATES,US,1955,Male,ACTOR
1778716,Jesse McCartney,NY,United States,US,1987,Male,SINGER
85226,Cyndi Lauper,NY,UNITED STATES,US,1953,Female,MUSICIAN
4670,Bruce Campbell,MI,UNITED STATES,US,1958,Male,ACTOR
4868,B. F. Skinner,PA,United States,US,1904,Male,PSYCHOLOGIST
5033,Bo Diddley,MS,UNITED STATES,US,1928,Male,MUSICIAN
5048,Brigham Young,VT,United States,US,1801,Male,RELIGIOUS FIGURE
5050,Bill Bryson,IA,UNITED STATES,US,1951,Male,WRITER
145534,Brad Delson,CA,UNITED STATES,US,1977,Male,MUSICIAN
5693,Claude Elwood Shannon,MI,UNITED STATES,US,1916,Male,COMPUTER SCIENTIST
6176,Cecil B. DeMille,MA,UNITED STATES,US,1881,Male,FILM DIRECTOR
6185,Chuck Yeager,WV,UNITED STATES,US,1923,Male,PILOT
6195,Calvin Coolidge,VT,United States,US,1872,Male,POLITICIAN
20405,Miles Davis,IL,UNITED STATES,US,1926,Male,MUSICIAN
167790,Christopher Walken,NY,UNITED STATES,US,1943,Male,ACTOR
232669,Tony Bennett,NY,UNITED STATES,US,1926,Male,SINGER
7345,Carl Barks,OR,United States,US,1901,Male,COMIC ARTIST
21189364,James Earl Ray,IL,United States,US,1928,Male,EXTREMIST
