,firstName,lastName,decade
1,Andre,Agassi,70s
2,Andy,Warhol,20s
4,Allen,Ginsberg,20s
8,Paul,Krugman,50s
9,Alec,Baldwin,50s
10,Kirk,Douglas,10s
11,Bill,Clinton,40s
12,Britney,Spears,80s
13,Bill,Gates,50s
18,Brian,De Palma,40s
19,Buddy,Holly,30s
20,Billy,Bob Thornton,50s
21,Jesse,McCartney,80s
22,Cyndi,Lauper,50s
23,Bruce,Campbell,50s
25,Bo,Diddley,20s
27,Bill,Bryson,50s
28,Brad,Delson,70s
29,Claude,Elwood Shannon,10s
31,Chuck,Yeager,20s
33,Miles,Davis,20s
34,Christopher,Walken,40s
35,Tony,Bennett,20s
37,James,Earl Ray,20s
38,Craig,Venter,40s
39,Eugene,Andrew Cernan,30s
40,Charles,Mingus,20s
41,Chet,Atkins,20s
42,Mike,Shinoda,70s
44,David,Lynch,40s
45,David,Fincher,60s
46,Douglas,Engelbart,20s
47,Carlos,Bocanegra,70s
48,Donald,Knuth,30s
49,Dave,Grohl,60s
50,Jeff,Buckley,60s
52,Patrick,McGoohan,20s
53,Doris,Day,20s
54,David,Letterman,40s
57,Dolly,Parton,40s
59,Dennis,Hopper,30s
60,David,Morse,50s
61,Gary,Sinise,50s
62,Dean,Koontz,40s
63,Don,Rosa,50s
64,Al,Oerter,30s
66,Elvis,Presley,30s
69,Milorad,ÄŒaviÄ‡,80s
70,Daniel,Dennett,40s
71,Eric,S. Raymond,50s
72,James,Tobin,10s
74,E.,O. Wilson,20s
75,Jonathan,Demme,40s
77,Saul,Kripke,40s
78,Francis,Ford Coppola,30s
79,Frank,Zappa,40s
81,Frank,Herbert,20s
82,LL,Cool J,60s
84,Frank,Sinatra,10s
85,Ludacris,,70s
86,Milo,Ventimiglia,70s
89,Gene,Kelly,10s
90,Alison,Krauss,70s
92,George,R. R. Martin,40s
93,Stephen,Jay Gould,40s
95,Gloria,Gaynor,40s
96,George,Peppard,20s
97,Jonathan,Davis,70s
98,Felicity,Huffman,60s
99,Rooney,Mara,80s
101,Jack,Lemmon,20s
102,Mike,Tyson,60s
103,Glenn,T. Seaborg,10s
104,Gene,Roddenberry,20s
108,Alyssa,Milano,70s
110,Halle,Berry,60s
111,Harrison,Schmitt,30s
112,Lhasa,de Sela,70s
113,Laura,Branigan,50s
115,Herbert,Simon,10s
117,Donald,Rumsfeld,30s
118,Hank,Aaron,30s
119,Hunter,S. Thompson,30s
120,Ice,T,50s
121,Dennis,Ritchie,40s
122,James,Spader,60s
124,Jim,Jarmusch,50s
125,James,Brown,30s
127,John,Updike,30s
128,John,Lee Hooker,10s
130,Frank,Abagnale,40s
132,Dan,Quayle,40s
134,Jerry,Lewis,20s
137,Jimmy,Carter,20s
138,John,Irving,40s
140,David,Boreanaz,60s
141,Jimi,Hendrix,40s
145,John,Roberts,50s
147,Jackie,Robinson,10s
148,Jeffrey,Dahmer,60s
149,Jim,Henson,30s
150,Janis,Joplin,40s
153,Francis,Fukuyama,50s
154,Jackson,Pollock,10s
155,Chad,Michael Murray,80s
158,Hugh,Hefner,20s
159,Jack,Ruby,10s
160,James,D. Watson,20s
162,Ursula,K. Le Guin,20s
163,Jennifer,Connelly,70s
164,Steve,Vai,60s
165,Julia,Roberts,60s
166,John,Carpenter,40s
167,Kurt,Cobain,60s
168,Mike,Dirnt,70s
169,Kyle,MacLachlan,50s
170,Kevin,Spacey,50s
171,James,Heckman,40s
172,Kevin,Bacon,50s
173,Kurt,Vonnegut,20s
175,Kary,Mullis,40s
176,Ken,Kesey,30s
177,Kirsten,Dunst,80s
178,Ben,Affleck,70s
179,Laura,Bush,40s
180,Lee,Harvey Oswald,30s
181,L.,Ron Hubbard,10s
184,John,Belushi,40s
185,Rosie,O'Donnell,60s
187,David,Petraeus,50s
188,Lee,Van Cleef,20s
189,Matt,Groening,50s
190,Julius,Erving,50s
192,Rebecca,Romijn,70s
193,Tom,Kenny,60s
194,Philip,Seymour Hoffman,60s
195,Mr.,T,50s
198,Nancy,Reagan,20s
199,David,Schwimmer,60s
200,Marlon,Brando,20s
201,Nicole,Richie,80s
202,Martin,"Luther King, Jr.",20s
203,Jon,Favreau,60s
204,Hank,Azaria,60s
206,Michael,Mann,40s
207,Martin,Gardner,10s
208,David,Caruso,50s
209,Telly,Savalas,20s
210,Morgan,Freeman,30s
211,Michael,Crichton,40s
212,Malcolm,X,20s
214,Meat,Loaf,40s
215,Candice,Bergen,40s
216,Kristanna,Loken,70s
217,Neil,Armstrong,30s
218,Nicole,Kidman,60s
219,Noam,Chomsky,20s
221,Nancy,Sinatra,40s
222,Tori,Amos,60s
223,Orson,Welles,10s
224,Paul,Cohen,30s
225,Patti,Smith,40s
226,Philip,K. Dick,20s
228,Carrie,Fisher,50s
229,Paul,Allen,50s
230,Poul,Anderson,20s
231,Thomas,Pynchon,30s
232,Walter,Gilbert,30s
234,Philip,Glass,30s
235,Paul,Auster,40s
236,Peggy,Lee,20s
237,Quentin,Tarantino,60s
239,Robert,Byrd,10s
240,Rush,Limbaugh,50s
242,Richard,Chamberlain,30s
243,Ashanti,,80s
244,Robert,Rodriguez,60s
245,Herbie,Hancock,40s
246,Ralph,Nader,30s
247,Gillian,Anderson,60s
249,Robert,Noyce,20s
250,Richard,Smalley,40s
251,Robert,Curl,30s
252,Chuck,Schuldiner,60s
253,Logan,Lerman,90s
254,Edward,C. Prescott,40s
255,Robert,Johnson,10s
258,Harrison,Ford,40s
259,Michael,Bloomberg,40s
260,Robin,Wright,60s
261,Christopher,Lambert,50s
262,Robert,Jordan,40s
263,Rosa,Parks,10s
264,Robert,De Niro,40s
265,Roy,Orbison,30s
266,Arthur,Miller,10s
267,Colin,Powell,30s
268,Moby,,60s
269,Steven,Spielberg,40s
270,Spike,Lee,50s
271,Stephen,King,40s
273,Sheryl,Crow,60s
274,Steven,Soderbergh,60s
275,Sean,Combs,60s
276,James,Baldwin,20s
277,Tim,Burton,50s
278,Mark,Harmon,50s
279,Doug,Savant,60s
280,Sammy,"Davis, Jr.",20s
281,Leonard,Nimoy,30s
282,Sam,Raimi,50s
283,Uma,Thurman,70s
284,Method,Man,70s
285,Sandra,Bullock,60s
287,Steve,Ballmer,50s
290,Tom,Clancy,40s
292,Terry,Gilliam,40s
293,Ted,Turner,30s
294,Kaley,Cuoco,80s
295,Charles,Durning,20s
296,Mariah,Carey,70s
297,Jared,Diamond,30s
300,Alex,Haley,20s
301,Donna,Summer,40s
303,Tony,Hawk,60s
305,Nick,Carter,80s
307,Adam,Brody,70s
308,Vint,Cerf,40s
309,Edward,Norton,60s
310,Lucille,Ball,10s
311,Lynn,Margulis,30s
313,William,Gibson,40s
314,Ward,Cunningham,40s
315,Woody,Guthrie,10s
320,Brenda,Song,80s
321,Cliff,Burton,60s
322,William,S. Burroughs,10s
326,John,Petrucci,60s
327,Talia,Shire,40s
328,Rick,Rubin,60s
329,Matt,Damon,70s
330,Whitney,Houston,60s
331,Winona,Ryder,70s
332,Wilma,Rudolph,40s
333,William,Lipscomb,10s
334,Gus,Grissom,20s
335,Edward,Higgins White,30s
336,Magic,Johnson,50s
337,Blake,Edwards,20s
339,Charlton,Heston,20s
340,Bruce,Lee,40s
344,Roger,Zelazny,30s
345,Robin,Williams,50s
346,John,Carmack,70s
347,Ted,Kennedy,30s
349,Timothy,McVeigh,60s
350,Bhumibol,Adulyadej,20s
351,Spiro,Agnew,10s
352,Joyce,Carol Oates,30s
353,Oscar,Gutierrez,70s
357,Mike,Portnoy,60s
359,Chris,Colfer,90s
361,Larry,Ellison,40s
362,Dr.,Dre,60s
363,Krist,Novoselic,60s
364,Walter,Mondale,20s
366,Charles,M. Schulz,20s
367,Frank,Drake,30s
368,Grace,Kelly,20s
369,Eazy-E,,60s
370,Charles,Manson,30s
371,Hubert,Humphrey,10s
372,J.,Michael Straczynski,50s
373,Coolio,,60s
376,Sharon,Stone,50s
377,Tayshaun,Prince,80s
378,Ava,Gardner,20s
379,Ralph,Ellison,10s
380,Alice,Walker,40s
381,Toni,Morrison,30s
383,Chris,Jericho,70s
385,Dave,Brubeck,20s
386,Tom,Hanks,50s
387,Eliza,Dushku,80s
388,Drew,Barrymore,70s
389,Robert,Altman,20s
390,Andie,MacDowell,50s
391,Cybill,Shepherd,50s
392,Spencer,Tunick,60s
393,R.,Kelly,60s
396,Vanessa,L. Williams,60s
398,Frank,Wilczek,50s
401,Helen,Hunt,60s
402,Glenn,Close,40s
403,Aaron,Eckhart,60s
404,Tennessee,Williams,10s
405,Sharon,Tate,40s
406,Brad,Pitt,60s
407,John,Wayne Gacy,40s
410,Chuck,Berry,20s
412,Sidney,Poitier,20s
413,Hilary,Putnam,20s
416,Jesse,Owens,10s
418,Kevin,James,60s
419,Angela,Davis,40s
421,Tiger,Woods,70s
422,Raquel,Welch,40s
423,William,Fichtner,50s
424,Paul,Newman,20s
425,Gary,Becker,30s
426,Denzel,Washington,50s
427,Ella,Fitzgerald,10s
428,Billie,Holiday,10s
429,Ike,Turner,30s
431,Paul,Simon,40s
432,Eddie,Vedder,60s
434,DMX,,70s
435,Arthur,Leonard Schawlow,20s
437,Melinda,Gates,60s
438,Meg,Ryan,60s
439,DJ,Shadow,70s
440,Henry,Mancini,20s
443,Don,McLean,40s
444,Jay,Leno,50s
445,Carol,W. Greider,60s
446,Robert,Burns Woodward,10s
447,James,Hetfield,60s
448,Weird,Al Yankovic,50s
449,Danny,Trejo,40s
450,Bonnie,Hunt,60s
451,Jimmie,Johnson,70s
454,John,Coltrane,20s
455,Matt,LeBlanc,60s
456,Richard,Meier,30s
457,Robert,Venturi,20s
458,Curtis,Mayfield,40s
461,Matt,Dillon,60s
462,John,Travolta,50s
465,Dizzy,Gillespie,10s
466,Charlie,Parker,20s
467,Lawrence,Lessig,60s
469,Alvin,Toffler,20s
470,Edward,Witten,50s
471,Aaliyah,,70s
472,Larry,Bird,50s
474,Quincy,Jones,30s
475,Barry,White,40s
476,Cher,,40s
477,Prince,,50s
479,James,M. Buchanan,10s
480,Andrew,S. Tanenbaum,40s
482,John,Denver,40s
483,John,Glenn,20s
484,Judy,Garland,20s
486,Ron,Howard,50s
487,Scatman,John,40s
488,Burt,Lancaster,10s
489,Billy,Crystal,40s
491,Janet,Jackson,60s
492,Carl,Sagan,30s
493,Danny,Kaye,10s
494,Jasper,Johns,30s
495,Bruce,Springsteen,40s
496,Kevin,Smith,70s
497,Larry,Page,70s
499,Lisa,Kudrow,60s
500,Robert,Zemeckis,50s
501,Eli,Wallach,10s
502,John,Cusack,60s
504,John,Milnor,30s
505,Muddy,Waters,10s
506,Travis,Barker,70s
507,John,Grisham,50s
512,Matthew,Morrison,70s
513,Warren,Beatty,30s
516,Joseph,E. Stiglitz,40s
517,Jon,Bon Jovi,60s
519,Linda,Hamilton,50s
520,Meryl,Streep,40s
521,John,McCarthy,20s
523,Sissy,Spacek,40s
526,Patricia,Highsmith,20s
527,Alan,Shepard,20s
528,Muhammad,Ali,40s
529,Chuck,Palahniuk,60s
530,Jack,Kilby,20s
533,Ginger,Rogers,10s
535,Jean-Michel,Basquiat,60s
537,Jennifer,Lopez,60s
538,Buzz,Aldrin,30s
539,Sam,Peckinpah,20s
540,Pete,Sampras,70s
544,Philip,JosÃ© Farmer,10s
545,Maurice,Greene,70s
546,Joseph,Greenberg,10s
548,Carl,Lewis,60s
551,Jennifer,Jones,10s
552,Steven,Seagal,50s
553,Robert,Wise,10s
554,Jessica,Lange,40s
557,Martin,Sheen,40s
558,Faye,Dunaway,40s
559,Jack,Kirby,10s
560,Anna,Nicole Smith,60s
561,Kareem,Abdul-Jabbar,40s
562,Kevin,Federline,70s
563,Justin,Timberlake,80s
564,Selena,,70s
565,Leon,M. Lederman,20s
567,Gwen,Stefani,60s
568,Lee,Marvin,20s
569,Debbie,Reynolds,30s
570,Larry,Flynt,40s
571,Martin,Scorsese,40s
572,John,Backus,20s
574,Johnny,Depp,60s
575,Paul,Walker,70s
576,Marvin,Minsky,20s
577,Edward,Furlong,70s
578,Robert,Englund,40s
579,Frank,Miller,50s
580,Milton,Friedman,10s
582,Joe,Lieberman,40s
583,Michael,Moore,50s
584,Jenna,Jameson,70s
585,Anton,LaVey,30s
587,J.,Christopher Stevens,60s
588,Fergie,,70s
589,Murray,Rothbard,20s
590,Tyson,Chandler,80s
591,Michael,Douglas,40s
592,Merton,Miller,20s
593,Samuel,Barber,10s
594,Mel,Brooks,20s
596,Alexander,Haig,20s
597,William,Westmoreland,10s
598,The,Rock,70s
599,Elliott,Smith,60s
600,Robin,Tunney,70s
601,Liza,Minnelli,40s
602,Katey,Sagal,50s
603,Kate,Mulgrew,50s
606,Michael,Jordan,60s
607,Murray,Gell-Mann,20s
608,Tina,Turner,30s
609,George,C. Scott,20s
611,Peter,Falk,20s
612,BeyoncÃ©,,80s
613,Thelonious,Monk,10s
614,Daron,Malakian,70s
617,Nick,Nolte,40s
619,Richard,Feynman,10s
621,Madeleine,Stowe,50s
622,Robert,Mitchum,10s
623,Rudy,Giuliani,40s
624,Raymond,Kurzweil,40s
625,Belinda,Carlisle,50s
627,Robert,Nozick,30s
634,Robert,Moog,30s
637,Patsy,Cline,30s
639,Tony,Levin,40s
640,Stanley,Kubrick,20s
641,Steve,Reich,30s
643,Art,Clokey,20s
645,Sarah,Michelle Gellar,70s
651,Hilary,Swank,70s
653,Reese,Witherspoon,70s
654,Stanley,Milgram,30s
655,David,Carradine,30s
658,Tupac,Shakur,70s
659,Jamie,Lynn Spears,90s
660,Jerry,Lee Lewis,30s
661,Woody,Allen,30s
662,Johnny,Carson,20s
664,Daniel,McFadden,30s
665,Robert,"Lucas, Jr.",30s
666,Christina,Applegate,70s
667,Wallace,Shawn,40s
669,John,Hughes,50s
670,John,Forbes Nash,20s
671,Will,Eisner,10s
672,Tina,Fey,70s
675,William,Forsyth Sharpe,30s
676,Steve,Martin,40s
677,Roger,Wolcott Sperry,10s
680,Danny,DeVito,40s
681,Al,Pacino,40s
684,Douglass,North,20s
685,Jason,Lee,70s
686,M.,Shadows,80s
687,Synyster,Gates,80s
688,Nancy,Cartwright,50s
690,The,Rev,80s
691,John,Rawls,20s
692,Billy,Joel,40s
693,Paul,Giamatti,60s
694,Richie,Sambora,50s
695,Alice,Cooper,40s
696,Kenneth,Arrow,20s
697,Madonna,,50s
698,Buckethead,,60s
701,Jeffrey,P. Bezos,60s
702,Robert,Ludlum,20s
703,Eddie,Murphy,60s
704,Lily,Tomlin,30s
705,Chester,Bennington,70s
706,Joe,Hahn,70s
707,Ted,Bundy,40s
